S_N,Irradiation Level (W/m2),Time
0,309,2025-09-20 10:01:22.051212
1,309,2025-09-20 10:01:22.580963
2,309,2025-09-20 10:01:23.106502
3,309,2025-09-20 10:01:23.636383
4,310,2025-09-20 10:01:24.166176
5,309,2025-09-20 10:01:24.695923
6,309,2025-09-20 10:01:25.221472
7,309,2025-09-20 10:01:25.751205
8,310,2025-09-20 10:01:26.280929
9,310,2025-09-20 10:01:26.806441
10,309,2025-09-20 10:01:27.336318
11,309,2025-09-20 10:01:27.862023
12,309,2025-09-20 10:01:28.387635
13,309,2025-09-20 10:01:28.917577
14,309,2025-09-20 10:01:29.447419
15,309,2025-09-20 10:01:29.973023
16,309,2025-09-20 10:01:30.502830
17,310,2025-09-20 10:01:31.032662
18,309,2025-09-20 10:01:31.562599
19,309,2025-09-20 10:01:32.092449
20,309,2025-09-20 10:01:32.618021
21,310,2025-09-20 10:01:33.147872
22,310,2025-09-20 10:01:33.677661
23,309,2025-09-20 10:01:34.207468
24,309,2025-09-20 10:01:34.733019
25,310,2025-09-20 10:01:35.262849
26,310,2025-09-20 10:01:35.792783
27,309,2025-09-20 10:01:36.318410
28,309,2025-09-20 10:01:36.848213
29,309,2025-09-20 10:01:37.378020
30,310,2025-09-20 10:01:37.907826
31,309,2025-09-20 10:01:38.433394
32,309,2025-09-20 10:01:38.963268
33,309,2025-09-20 10:01:39.493100
34,310,2025-09-20 10:01:40.023024
35,310,2025-09-20 10:01:40.552827
36,309,2025-09-20 10:01:41.078402
37,309,2025-09-20 10:01:41.608177
38,310,2025-09-20 10:01:42.137978
39,311,2025-09-20 10:01:42.663519
40,309,2025-09-20 10:01:43.193354
41,309,2025-09-20 10:01:43.723312
42,309,2025-09-20 10:01:44.253168
43,311,2025-09-20 10:01:44.778787
44,310,2025-09-20 10:01:45.308657
45,310,2025-09-20 10:01:45.838440
46,309,2025-09-20 10:01:46.368217
47,311,2025-09-20 10:01:46.897985
48,311,2025-09-20 10:01:47.427772
49,310,2025-09-20 10:01:47.957698
50,310,2025-09-20 10:01:48.487508
51,310,2025-09-20 10:01:49.017307
52,311,2025-09-20 10:01:49.542855
53,310,2025-09-20 10:01:50.072633
54,310,2025-09-20 10:01:50.598184
55,310,2025-09-20 10:01:51.128033
56,312,2025-09-20 10:01:51.657968
57,311,2025-09-20 10:01:52.187778
58,311,2025-09-20 10:01:52.717573
59,311,2025-09-20 10:01:53.243137
60,312,2025-09-20 10:01:53.772915
61,312,2025-09-20 10:01:54.298460
62,312,2025-09-20 10:01:54.828231
63,311,2025-09-20 10:01:55.358035
64,312,2025-09-20 10:01:55.887981
65,311,2025-09-20 10:01:56.413575
66,311,2025-09-20 10:01:56.943441
67,311,2025-09-20 10:01:57.473267
68,311,2025-09-20 10:01:58.003056
69,312,2025-09-20 10:01:58.532837
70,312,2025-09-20 10:01:59.058380
71,312,2025-09-20 10:01:59.584653
72,311,2025-09-20 10:02:00.114497
73,312,2025-09-20 10:02:00.644338
74,312,2025-09-20 10:02:01.174189
75,312,2025-09-20 10:02:01.699964
76,313,2025-09-20 10:02:05.233470
77,315,2025-09-20 10:02:05.763266
78,315,2025-09-20 10:02:06.288810
79,314,2025-09-20 10:02:06.818651
80,313,2025-09-20 10:02:07.348460
81,313,2025-09-20 10:02:07.874205
82,314,2025-09-20 10:02:08.404098
83,313,2025-09-20 10:02:08.933944
84,313,2025-09-20 10:02:09.463812
85,313,2025-09-20 10:02:09.993648
86,315,2025-09-20 10:02:10.519255
87,314,2025-09-20 10:02:11.049102
88,314,2025-09-20 10:02:11.578929
89,314,2025-09-20 10:02:12.104685
90,315,2025-09-20 10:02:12.634614
91,315,2025-09-20 10:02:13.164578
92,314,2025-09-20 10:02:13.690243
93,314,2025-09-20 10:02:14.220109
94,315,2025-09-20 10:02:14.745738
95,315,2025-09-20 10:02:15.275582
